"","x"
"39","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"40","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"41","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"42","Experience doesn't pay the bills.
#payinterns https://t.co/8lwzEaF6zh"
"43","RT @RookieKE: #PayInterns because experience doesn't pay the bills!
https://t.co/YVo1tSxeGu"
"44","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"45","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"46","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"47","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"48","RT @annakyyj: Same can be said for artists and exposure. #SupportTheArts #payinterns #fairwage https://t.co/3iO99SjgqQ"
"49","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"50","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"51","RT @annakyyj: Same can be said for artists and exposure. #SupportTheArts #payinterns #fairwage https://t.co/3iO99SjgqQ"
"52","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"53","RT @Wakilimutichilo: Kenyan employers do you here this !!!! #payinterns https://t.co/9CSWOC863c"
"54","Kenyan employers do you here this !!!! #payinterns https://t.co/9CSWOC863c"
"55","RT @annakyyj: Same can be said for artists and exposure. #SupportTheArts #payinterns #fairwage https://t.co/3iO99SjgqQ"
"56","RT @RookieKE: #PayInterns because experience doesn't pay the bills!
https://t.co/YVo1tSxeGu"
"57","Reminds me of the #PayInterns debate we had couple of months ago as Kenyans #KOT. Sometimes it's really hard to aff… https://t.co/k45PwnRHNf"
"58","Same can be said for artists and exposure. #SupportTheArts #payinterns #fairwage https://t.co/3iO99SjgqQ"
"59","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"60","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"61","RT @RookieKE: #PayInterns because experience doesn't pay the bills!
https://t.co/YVo1tSxeGu"
"62","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"63","#PayInterns because experience doesn't pay the bills!
https://t.co/YVo1tSxeGu"
"64","RT @kalash_bb: @RookieKE  huwa nimekutambua siku mingi! Na itabidi nichangie kwa huu mjadala! #Payinterns. Huyu ni mtu ako chini mshike mko…"
"65","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"66","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"67","RT @_missgroce: @carolynbr95 Idyl Ike to add pay them! #payinterns especially folks who work 50+ hours for free (or pay to work)"
"68","@carolynbr95 Idyl Ike to add pay them! #payinterns especially folks who work 50+ hours for free (or pay to work)"
"69","@piersmorgan Your thinking is warped. Experience matters, but so does paying bills.
A compromise must be reached. Pay interns. #PayInterns"
"70","#payinterns #PayOurInterns #PayYourInterns #Kenya https://t.co/qQ3Mxf7L67"
"71","#payinterns https://t.co/obYYKHUBKL"
"72","People act like we're gonna give interns $15/hr like I get $150 a week from my current internship and I JUMPED at t… https://t.co/b0wgc58QJs"
"73","Dear Kenyan employers, exposure doesn't pay bills. #payinterns https://t.co/DZwBvRDb0J"
"74","YAS. ONE MORE TIME FOR THE FOLKS IN THE BACK. <U+0001F44F><U+0001F3FD><U+0001F44F><U+0001F3FD><U+0001F44F><U+0001F3FD> #payinterns @payourinterns https://t.co/NMSV9jlHP6"
"75","RT @suttontrust: Great to hear that @BorisJohnson supports the campaign to ban unpaid internships #payinterns

Sutton Trust research has fo…"
"76","RT @suttontrust: Great to hear that @BorisJohnson supports the campaign to ban unpaid internships #payinterns

Sutton Trust research has fo…"
"77","@AOC And working without pay is “slavery...” which was abolished. #PayInterns"
"78","@RookieKE  huwa nimekutambua siku mingi! Na itabidi nichangie kwa huu mjadala! #Payinterns. Huyu ni mtu ako chini m… https://t.co/OCE5OJvsZz"
"79","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"80","I love this tweet so much. We must put an immediate end to unpaid internships, and I'm excited to be campaigning fo… https://t.co/gKAPQ6Pj4x"
"81","RT @TheGOV17: @AOC Good quote. Great work. 
#AOC
#payinterns"
"82","RT @MurrayStateArt: #payinterns #payartists https://t.co/8msIJWdj1L"
"83","#payinterns #payartists https://t.co/8msIJWdj1L"
"84","On #NationalInternDay, I want to shout out to everyone who couldn’t afford to take that unpaid internship. This is… https://t.co/8auYNTMeLA"
"85","@AOC .. modern day slavery too. #payinterns"
"86","YES!!

#PayInterns https://t.co/b9VhrIBWpj"
"87","@AOC Good quote. Great work. 
#AOC
#payinterns"
"88","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"89","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"90","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"91","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
